environment,strategy,seed,total_reward,final_reward
CliffWalking,epsilon_greedy,25,-823579.0,-13.0
CliffWalking,epsilon_greedy,26,-796880.0,-13.0
CliffWalking,epsilon_greedy,27,-804512.0,-13.0
CliffWalking,epsilon_greedy,28,-805024.0,-13.0
CliffWalking,epsilon_greedy,29,-813398.0,-13.0
CliffWalking,softmax,0,-76270.0,-13.0
CliffWalking,softmax,1,-76222.0,-13.0
CliffWalking,softmax,2,-76260.0,-13.0
CliffWalking,softmax,3,-76271.0,-13.0
CliffWalking,softmax,4,-76262.0,-13.0
CliffWalking,softmax,5,-76275.0,-13.0
CliffWalking,softmax,6,-76182.0,-13.0
CliffWalking,softmax,7,-76260.0,-13.0
CliffWalking,softmax,8,-76235.0,-13.0
CliffWalking,softmax,9,-76245.0,-13.0
CliffWalking,softmax,10,-76240.0,-13.0
CliffWalking,softmax,11,-76244.0,-13.0
CliffWalking,softmax,12,-76210.0,-13.0
CliffWalking,softmax,13,-76242.0,-13.0
CliffWalking,softmax,14,-76244.0,-13.0
CliffWalking,softmax,15,-76218.0,-13.0
CliffWalking,softmax,16,-76233.0,-13.0
CliffWalking,softmax,17,-76229.0,-13.0
CliffWalking,softmax,18,-76240.0,-13.0
CliffWalking,softmax,19,-76241.0,-13.0
CliffWalking,softmax,20,-76257.0,-13.0
CliffWalking,softmax,21,-76217.0,-13.0
CliffWalking,softmax,22,-76255.0,-13.0
CliffWalking,softmax,23,-76230.0,-13.0
CliffWalking,softmax,24,-76229.0,-13.0
CliffWalking,softmax,25,-76235.0,-13.0
CliffWalking,softmax,26,-76264.0,-13.0
CliffWalking,softmax,27,-76244.0,-13.0
CliffWalking,softmax,28,-76237.0,-13.0
CliffWalking,softmax,29,-76209.0,-13.0
CliffWalking,thompson,0,-75211.0,-13.0
CliffWalking,thompson,1,-75223.0,-13.0
CliffWalking,thompson,2,-75231.0,-13.0
CliffWalking,thompson,3,-75219.0,-13.0
CliffWalking,thompson,4,-75240.0,-13.0
CliffWalking,thompson,5,-75232.0,-13.0
CliffWalking,thompson,6,-75217.0,-13.0
CliffWalking,thompson,7,-75237.0,-13.0
CliffWalking,thompson,8,-75235.0,-13.0
CliffWalking,thompson,9,-75223.0,-13.0
CliffWalking,thompson,10,-75213.0,-13.0
CliffWalking,thompson,11,-75223.0,-13.0
CliffWalking,thompson,12,-75212.0,-13.0
CliffWalking,thompson,13,-75221.0,-13.0
CliffWalking,thompson,14,-75231.0,-13.0
CliffWalking,thompson,15,-75222.0,-13.0
CliffWalking,thompson,16,-75233.0,-13.0
CliffWalking,thompson,17,-75227.0,-13.0
CliffWalking,thompson,18,-75212.0,-13.0
CliffWalking,thompson,19,-75216.0,-13.0
CliffWalking,thompson,20,-75202.0,-13.0
CliffWalking,thompson,21,-75223.0,-13.0
CliffWalking,thompson,22,-75222.0,-13.0
CliffWalking,thompson,23,-75208.0,-13.0
CliffWalking,thompson,24,-75211.0,-13.0
CliffWalking,thompson,25,-75225.0,-13.0
CliffWalking,thompson,26,-75224.0,-13.0
CliffWalking,thompson,27,-75207.0,-13.0
CliffWalking,thompson,28,-75215.0,-13.0
CliffWalking,thompson,29,-75218.0,-13.0
Taxi,epsilon_greedy,0,-220641.0,7.63
Taxi,epsilon_greedy,1,-225249.0,7.63
Taxi,epsilon_greedy,2,-226867.0,7.63
Taxi,epsilon_greedy,3,-225192.0,7.63
Taxi,epsilon_greedy,4,-228743.0,7.63
Taxi,epsilon_greedy,5,-225385.0,7.63
Taxi,epsilon_greedy,6,-227563.0,7.63
Taxi,epsilon_greedy,7,-219908.0,7.63
Taxi,epsilon_greedy,8,-225384.0,7.63
Taxi,epsilon_greedy,9,-225592.0,7.63
Taxi,epsilon_greedy,10,-225006.0,7.63
Taxi,epsilon_greedy,11,-223325.0,7.63
Taxi,epsilon_greedy,12,-228250.0,7.63
Taxi,epsilon_greedy,13,-220541.0,7.63
Taxi,epsilon_greedy,14,-225220.0,7.63
Taxi,epsilon_greedy,15,-225037.0,7.63
Taxi,epsilon_greedy,16,-219106.0,7.63
Taxi,epsilon_greedy,17,-224536.0,7.63
